id,value
2153,Profissionais da pilotagem aeronáutica
2211,Biólogos e afins
2212,Biomédicos
2221,Engenheiros agrossilvipecuários
2222,Engenheiros de alimentos e afins
2232,Cirurgiőes-dentistas
2233,Veterinários e zootecnistas
2234,Farmacęuticos
2235,Enfermeiros e afins
2236,Fisioterapeutas
2237,Nutricionistas
2238,Fonoaudiólogos
2239,"Terapeutas ocupacionais, ortoptistas e psicomotricistas"
2241,Profissionais da educaçăo física
2251,Médicos clínicos
2252,Médicos em especialidades cirúrgicas
2253,Médicos em medicina diagnóstica e terapęutica
2261,Osteopatas e quiropraxistas
2263,"Profissionais das terapias criativas,equoterápicas e naturológicas"
2311,Professores de nível superior na educaçăo infantil
2312,Professores de nível superior do ensino fundamental (primeira a quarta séries)
2313,Professores de nível superior no ensino fundamental de quinta a oitava série
2321,Professores do ensino médio
2331,Professores do ensino profissional
2332,Instrutores de ensino profissional
2341,"Professores de matemática, estatística e informática do ensino superior"
2342,"Professores de cięncias físicas, químicas e afins do ensino superior"
2343,"Professores de arquitetura e urbanismo, engenharia, geofísica e geologia do ensino superior"
2344,Professores de cięncias biológicas e da saúde do ensino superior
2345,Professores na área de formaçăo pedagógica do ensino superior
2346,Professores nas áreas de língua e literatura do ensino superior
2347,Professores de cięncias humanas do ensino superior
2348,"Professores de cięncias econômicas, administrativas e contábeis do ensino superior"
2349,Professores de artes do ensino superior
2392,Professores de educaçăo especial
2394,"Programadores, avaliadores e orientadores de ensino"
2410,Advogados
2412,Procuradores e advogados públicos
2413,Tabeliăes e registradores
2422,Membros do ministério público
2423,Delegados de polícia
2424,Defensores públicos e procuradores da assistęncia judiciária
2429,Profissionais da inteligęncia
2511,Profissionais em pesquisa e análise antropológica sociológica
2512,Economistas
2513,Profissionais em pesquisa e análise geográfica
2514,Filósofos
2515,Psicólogos e psicanalistas
2516,Assistentes sociais e economistas domésticos
2521,Administradores
2522,Contadores e afins
2523,Secretárias(os) executivas(os) e afins
2524,Profissionais de recursos humanos
2525,Profissionais de administraçăo ecônomico-financeira
2526,Profissionais da administraçăo dos serviços de segurança
2527,"Profissionais de planejamento, programaçăo e controles logisticos"
2531,Profissionais de publicidade
2532,Profissionais de comercializacăo e consultoria de serviços bancários
2533,"Corretores de valores, ativos financeiros, mercadorias e derivativos"
2541,Auditores fiscais e técnicos da receita federal
2542,Auditores fiscais da previdęncia social
2543,Auditores fiscais do trabalho
2544,Fiscais de tributos estaduais e municipais
2545,Profissionais da fiscalizaçăo de atividades urbanas
2611,Profissionais do jornalismo
2612,Profissionais da informaçăo
2613,Arquivistas e museólogos
2614,"Filólogos,tradutores ,intérpretes e afins"
2615,Profissionais da escrita
2616,Editores
2617,"Locutores, comentaristas e repórteres de mídias audiovisuais"
2618,Fotógrafos profissionais
2619,Assistentes de direçăo (tv) e continuístas
2621,Produtores artísticos e culturais
2622,Diretores de espetáculos e afins
2623,Cenógrafos
2624,"Artistas visuais,desenhistas industriais e conservadores-restauradores de bens culturais"
2625,Atores
2626,"Músicos compositores, arranjadores, regentes e musicólogos"
2627,Músicos intérpretes
2628,Artistas da dança (exceto dança tradicional e popular)
2629,Designer de interiores de nível superior
2631,"Ministros de culto, missionários, teólogos e profissionais assemelhados"
2711,Chefes de cozinha e afins
3001,Técnicos em mecatrônica
3003,Técnicos em eletromecânica
3011,Técnicos de laboratório industrial
3012,Técnicos de apoio ŕ bioengenharia
3111,Técnicos químicos
3112,"Técnicos de produçăo de indústrias químicas, petroquímicas, refino de petróleo, gás e afins"
3113,"Técnicos em materiais, produtos cerâmicos e vidros"
3114,Técnicos em fabricaçăo de produtos plásticos e de borracha
3115,"Técnicos em controle ambiental, utilidades e tratamento de efluentes"
3116,Técnicos tęxteis
3117,Coloristas
3121,Técnicos em construçăo civil (edificaçőes)
3122,Técnicos em construçăo civil (obras de infraestrutura)
3123,Técnicos em geomática
3131,Técnicos em eletricidade e eletrotécnica
3132,Técnicos em eletrônica
3133,Técnicos em telecomunicaçőes
3134,Técnicos em calibraçăo e instrumentaçăo
3135,Técnicos em fotônica
3141,"Técnicos mecânicos na fabricaçăo e montagem de máquinas, sistemas e instrumentos"
3142,Técnicos mecânicos (ferramentas)
3143,Técnicos em mecânica veicular
3144,"Técnicos mecânicos na manutençăo de máquinas, sistemas e instrumentos"
3146,Técnicos em metalurgia (estruturas metálicas)
3147,Técnicos em siderurgia
3161,Técnicos em geologia
3163,Técnicos em mineraçăo
3171,Técnicos de desenvolvimento de sistemas e aplicaçőes
3172,Técnicos de suporte e monitoraçăo ao usuário de tecnologia da informaçăo.
3180,"Desenhistas técnicos, em geral"
3181,Desenhistas técnicos da construçăo civil e arquitetura
3182,Desenhistas técnicos da mecânica
3183,"Desenhistas técnicos em eletricidade, eletrônica, eletromecânica, calefaçăo, ventilaçăo e refrigeraçăo"
